round,geocode,name,infection_time,degree,seed,seedname
0,530010805 ,BRASÍLIA ,5, 52, 355030800, SÃO PAULO
0,330455705 ,RIO DE JANEIRO ,3, 62, 355030800, SÃO PAULO
0,355030800 ,SÃO PAULO ,1, 71, 355030800, SÃO PAULO
0,330070405 ,Cabo Frio ,5, 4, 355030800, SÃO PAULO
0,317070105 ,Varginha ,5, 5, 355030800, SÃO PAULO
0,120040105 ,RIO BRANCO ,7, 8, 355030800, SÃO PAULO
0,353070605 ,Mogi Guaçu ,4, 2, 355030800, SÃO PAULO
0,351620005 ,FRANCA ,8, 13, 355030800, SÃO PAULO
round,geocode,name,infection_time,degree,seed,seedname
0,520110805 ,ANÁPOLIS ,5, 21, 355030800, SÃO PAULO
0,280030805 ,ARACAJU ,5, 30, 355030800, SÃO PAULO
0,350280405 ,ARAÇATUBA ,5, 16, 355030800, SÃO PAULO
0,310350405 ,Araguari ,5, 10, 355030800, SÃO PAULO
0,310560805 ,Barbacena ,5, 14, 355030800, SÃO PAULO
0,330040705 ,BARRA MANSA ,5, 22, 355030800, SÃO PAULO
0,350550005 ,Barretos ,9, 17, 355030800, SÃO PAULO
0,420240405 ,BLUMENAU ,5, 8, 355030800, SÃO PAULO
0,350760505 ,Bragança Paulista ,5, 4, 355030800, SÃO PAULO
0,320120905 ,Cachoeiro de Itapemirim ,5, 10, 355030800, SÃO PAULO
0,250400905 ,CAMPINA GRANDE ,5, 19, 355030800, SÃO PAULO
0,350950205 ,CAMPINAS ,3, 38, 355030800, SÃO PAULO
0,500270405 ,CAMPO GRANDE ,4, 31, 355030800, SÃO PAULO
0,260410605 ,CARUARU ,5, 15, 355030800, SÃO PAULO
0,410480805 ,CASCAVEL ,5, 33, 355030800, SÃO PAULO
0,420420205 ,Chapecó ,5, 14, 355030800, SÃO PAULO
0,320150605 ,Colatina ,5, 10, 355030800, SÃO PAULO
0,230420205 ,Crato ,5, 12, 355030800, SÃO PAULO
0,420460805 ,CRICIÚMA ,5, 11, 355030800, SÃO PAULO
0,510340305 ,CUIABÁ ,5, 28, 355030800, SÃO PAULO
0,420540705 ,FLORIANÓPOLIS ,5, 22, 355030800, SÃO PAULO
0,410830405 ,FOZ DO IGUAÇU ,5, 36, 355030800, SÃO PAULO
0,260600205 ,Garanhuns ,5, 12, 355030800, SÃO PAULO
0,520870705 ,GOIANIA ,4, 42, 355030800, SÃO PAULO
0,312770105 ,GOVERNADOR VALADARES ,5, 36, 355030800, SÃO PAULO
0,291480205 ,ITABUNA ,5, 17, 355030800, SÃO PAULO
0,420820305 ,ITAJAÍ ,5, 10, 355030800, SÃO PAULO
0,250750705 ,JOÃO PESSOA ,5, 21, 355030800, SÃO PAULO
0,420910205 ,JOINVILLE ,4, 19, 355030800, SÃO PAULO
0,291840705 ,Juazeiro ,5, 9, 355030800, SÃO PAULO
0,230730405 ,JUAZEIRO DO NORTE ,5, 17, 355030800, SÃO PAULO
0,313670205 ,JUIZ DE FORA ,4, 31, 355030800, SÃO PAULO
0,420930005 ,LAGES ,5, 7, 355030800, SÃO PAULO
0,411370005 ,LONDRINA ,4, 29, 355030800, SÃO PAULO
0,270430205 ,MACEIÓ ,5, 34, 355030800, SÃO PAULO
0,411520005 ,MARINGÁ ,4, 29, 355030800, SÃO PAULO
0,240800305 ,Mossoró ,5, 17, 355030800, SÃO PAULO
0,240810205 ,NATAL ,5, 22, 355030800, SÃO PAULO
0,330330205 ,Niterói ,3, 13, 355030800, SÃO PAULO
0,172100005 ,PALMAS ,5, 26, 355030800, SÃO PAULO
0,220770205 ,PARNAÍBA ,5, 9, 355030800, SÃO PAULO
0,431410005 ,PASSO FUNDO ,5, 16, 355030800, SÃO PAULO
0,314800405 ,Patos de Minas ,5, 12, 355030800, SÃO PAULO
0,261110105 ,Petrolina ,5, 16, 355030800, SÃO PAULO
0,411990505 ,PONTA GROSSA ,5, 20, 355030800, SÃO PAULO
0,110020505 ,PORTO VELHO ,5, 24, 355030800, SÃO PAULO
0,315250105 ,Pouso Alegre ,4, 9, 355030800, SÃO PAULO
0,354140605 ,PRESIDENTE PRUDENTE ,7, 22, 355030800, SÃO PAULO
0,330420105 ,Resende ,5, 15, 355030800, SÃO PAULO
0,510760205 ,Rondonópolis ,5, 25, 355030800, SÃO PAULO
0,354980505 ,SÃO JOSÉ DO RIO PRETO ,7, 29, 355030800, SÃO PAULO
0,354990405 ,SÃO JOSÉ DOS CAMPOS ,5, 34, 355030800, SÃO PAULO
0,211130005 ,SÃO LUÍS ,5, 18, 355030800, SÃO PAULO
0,293135005 ,Teixeira de Freitas ,5, 16, 355030800, SÃO PAULO
0,316860605 ,Teófilo Otoni ,5, 30, 355030800, SÃO PAULO
0,221100105 ,TERESINA ,5, 21, 355030800, SÃO PAULO
0,317010705 ,UBERABA ,5, 30, 355030800, SÃO PAULO
0,317020605 ,UBERLÂNDIA ,5, 32, 355030800, SÃO PAULO
0,320530905 ,VITÓRIA ,5, 27, 355030800, SÃO PAULO
0,293330705 ,VITÓRIA DA CONQUISTA ,4, 30, 355030800, SÃO PAULO
0,330630505 ,Volta Redonda ,4, 12, 355030800, SÃO PAULO
0,150140205 ,BELÉM ,5, 24, 355030800, SÃO PAULO
0,310620005 ,BELO HORIZONTE ,3, 42, 355030800, SÃO PAULO
0,410690205 ,CURITIBA ,3, 35, 355030800, SÃO PAULO
0,230440005 ,FORTALEZA ,5, 31, 355030800, SÃO PAULO
0,431490205 ,PORTO ALEGRE ,5, 29, 355030800, SÃO PAULO
0,261160605 ,RECIFE ,5, 33, 355030800, SÃO PAULO
0,292740805 ,SALVADOR ,5, 30, 355030800, SÃO PAULO
0,530010805 ,BRASÍLIA ,5, 52, 355030800, SÃO PAULO
0,330455705 ,RIO DE JANEIRO ,3, 62, 355030800, SÃO PAULO
0,355030800 ,SÃO PAULO ,1, 71, 355030800, SÃO PAULO
0,330070405 ,Cabo Frio ,5, 4, 355030800, SÃO PAULO
0,317070105 ,Varginha ,5, 5, 355030800, SÃO PAULO
0,120040105 ,RIO BRANCO ,7, 8, 355030800, SÃO PAULO
0,353070605 ,Mogi Guaçu ,4, 2, 355030800, SÃO PAULO
0,351620005 ,FRANCA ,8, 13, 355030800, SÃO PAULO
round,geocode,name,infection_time,degree,seed,seedname
0,520110805 ,ANÁPOLIS ,5, 21, 355030800, SÃO PAULO
0,280030805 ,ARACAJU ,5, 30, 355030800, SÃO PAULO
0,350280405 ,ARAÇATUBA ,5, 16, 355030800, SÃO PAULO
0,310350405 ,Araguari ,5, 10, 355030800, SÃO PAULO
0,310560805 ,Barbacena ,5, 14, 355030800, SÃO PAULO
0,330040705 ,BARRA MANSA ,5, 22, 355030800, SÃO PAULO
0,350550005 ,Barretos ,9, 17, 355030800, SÃO PAULO
0,420240405 ,BLUMENAU ,5, 8, 355030800, SÃO PAULO
0,350760505 ,Bragança Paulista ,5, 4, 355030800, SÃO PAULO
0,320120905 ,Cachoeiro de Itapemirim ,5, 10, 355030800, SÃO PAULO
0,250400905 ,CAMPINA GRANDE ,5, 19, 355030800, SÃO PAULO
0,350950205 ,CAMPINAS ,3, 38, 355030800, SÃO PAULO
0,500270405 ,CAMPO GRANDE ,4, 31, 355030800, SÃO PAULO
0,260410605 ,CARUARU ,5, 15, 355030800, SÃO PAULO
0,410480805 ,CASCAVEL ,5, 33, 355030800, SÃO PAULO
0,420420205 ,Chapecó ,5, 14, 355030800, SÃO PAULO
0,320150605 ,Colatina ,5, 10, 355030800, SÃO PAULO
0,230420205 ,Crato ,5, 12, 355030800, SÃO PAULO
0,420460805 ,CRICIÚMA ,5, 11, 355030800, SÃO PAULO
0,510340305 ,CUIABÁ ,5, 28, 355030800, SÃO PAULO
0,420540705 ,FLORIANÓPOLIS ,5, 22, 355030800, SÃO PAULO
0,410830405 ,FOZ DO IGUAÇU ,5, 36, 355030800, SÃO PAULO
0,260600205 ,Garanhuns ,5, 12, 355030800, SÃO PAULO
0,520870705 ,GOIANIA ,4, 42, 355030800, SÃO PAULO
0,312770105 ,GOVERNADOR VALADARES ,5, 36, 355030800, SÃO PAULO
0,291480205 ,ITABUNA ,5, 17, 355030800, SÃO PAULO
0,420820305 ,ITAJAÍ ,5, 10, 355030800, SÃO PAULO
0,250750705 ,JOÃO PESSOA ,5, 21, 355030800, SÃO PAULO
0,420910205 ,JOINVILLE ,4, 19, 355030800, SÃO PAULO
0,291840705 ,Juazeiro ,5, 9, 355030800, SÃO PAULO
0,230730405 ,JUAZEIRO DO NORTE ,5, 17, 355030800, SÃO PAULO
0,313670205 ,JUIZ DE FORA ,4, 31, 355030800, SÃO PAULO
0,420930005 ,LAGES ,5, 7, 355030800, SÃO PAULO
0,411370005 ,LONDRINA ,4, 29, 355030800, SÃO PAULO
0,270430205 ,MACEIÓ ,5, 34, 355030800, SÃO PAULO
0,411520005 ,MARINGÁ ,4, 29, 355030800, SÃO PAULO
0,240800305 ,Mossoró ,5, 17, 355030800, SÃO PAULO
0,240810205 ,NATAL ,5, 22, 355030800, SÃO PAULO
0,330330205 ,Niterói ,3, 13, 355030800, SÃO PAULO
0,172100005 ,PALMAS ,5, 26, 355030800, SÃO PAULO
0,220770205 ,PARNAÍBA ,5, 9, 355030800, SÃO PAULO
0,431410005 ,PASSO FUNDO ,5, 16, 355030800, SÃO PAULO
0,314800405 ,Patos de Minas ,5, 12, 355030800, SÃO PAULO
0,261110105 ,Petrolina ,5, 16, 355030800, SÃO PAULO
0,411990505 ,PONTA GROSSA ,5, 20, 355030800, SÃO PAULO
0,110020505 ,PORTO VELHO ,5, 24, 355030800, SÃO PAULO
0,315250105 ,Pouso Alegre ,4, 9, 355030800, SÃO PAULO
0,354140605 ,PRESIDENTE PRUDENTE ,7, 22, 355030800, SÃO PAULO
0,330420105 ,Resende ,5, 15, 355030800, SÃO PAULO
0,510760205 ,Rondonópolis ,5, 25, 355030800, SÃO PAULO
0,354980505 ,SÃO JOSÉ DO RIO PRETO ,7, 29, 355030800, SÃO PAULO
0,354990405 ,SÃO JOSÉ DOS CAMPOS ,5, 34, 355030800, SÃO PAULO
0,211130005 ,SÃO LUÍS ,5, 18, 355030800, SÃO PAULO
0,293135005 ,Teixeira de Freitas ,5, 16, 355030800, SÃO PAULO
0,316860605 ,Teófilo Otoni ,5, 30, 355030800, SÃO PAULO
0,221100105 ,TERESINA ,5, 21, 355030800, SÃO PAULO
0,317010705 ,UBERABA ,5, 30, 355030800, SÃO PAULO
0,317020605 ,UBERLÂNDIA ,5, 32, 355030800, SÃO PAULO
0,320530905 ,VITÓRIA ,5, 27, 355030800, SÃO PAULO
0,293330705 ,VITÓRIA DA CONQUISTA ,4, 30, 355030800, SÃO PAULO
0,330630505 ,Volta Redonda ,4, 12, 355030800, SÃO PAULO
0,150140205 ,BELÉM ,5, 24, 355030800, SÃO PAULO
0,310620005 ,BELO HORIZONTE ,3, 42, 355030800, SÃO PAULO
0,410690205 ,CURITIBA ,3, 35, 355030800, SÃO PAULO
0,230440005 ,FORTALEZA ,5, 31, 355030800, SÃO PAULO
0,431490205 ,PORTO ALEGRE ,5, 29, 355030800, SÃO PAULO
0,261160605 ,RECIFE ,5, 33, 355030800, SÃO PAULO
0,292740805 ,SALVADOR ,5, 30, 355030800, SÃO PAULO
0,530010805 ,BRASÍLIA ,5, 52, 355030800, SÃO PAULO
0,330455705 ,RIO DE JANEIRO ,3, 62, 355030800, SÃO PAULO
0,355030800 ,SÃO PAULO ,1, 71, 355030800, SÃO PAULO
0,330070405 ,Cabo Frio ,5, 4, 355030800, SÃO PAULO
0,317070105 ,Varginha ,5, 5, 355030800, SÃO PAULO
0,120040105 ,RIO BRANCO ,7, 8, 355030800, SÃO PAULO
0,353070605 ,Mogi Guaçu ,4, 2, 355030800, SÃO PAULO
0,351620005 ,FRANCA ,8, 13, 355030800, SÃO PAULO
